nitemcode,company,brand,itemdesc,qty,uomdesc,pack_size,packaging
64092,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,MUNCHEE CAROL COOKIES 85 GM PLPCH,85,GM,85.00 GM,PLPCH
14624,CHIRAN INDUSTRIES (PVT) LTD,NANO,NANO BOTTLED DRINKING WATER 1000 ML PLBOT,1000,ML,1000.00 ML,PLBOT
14623,CHIRAN INDUSTRIES (PVT) LTD,NANO,NANO BOTTLED DRINKING WATER 500 ML PLBOT,500,ML,500.00 ML,PLBOT
64085,WINCO LANKA FOOD PRODUCTS,WINCO LANKA,WINCO LANKA SPECIAL NOODLES 500 GM PLPCH,500,GM,500.00 GM,PLPCH
64086,ASIAN TRADEMADE (PVT) LTD,GOLD QUEEN,GOLD QUEEN TOMATO SAUCE 200 GM PLPCH,200,GM,200.00 GM,PLPCH
64047,SRI NUTRIFOODS (PVT) LTD,MACLEE CHOCOLATE CREAM,MACLEE CHOCOLATE CREAM BISCUITS 90 GM PLPCH (SRI NUTRIFOODS),90,GM,90.00 GM,PLPCH
63759,HEMAS MARKETING,DIVA FRESH,DIVA FRESH 3 IN 1 GARDENIA & ROSE DETERGENT POWDER 1000 GM PLPCH,1000,GM,1000.00 GM,PLPCH
64092,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,MUNCHEE CAROL COOKIES 85 GM PLPCH,85,GM,85.00 GM,PLPCH
63993,NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP MALTED FOOD 400 GM CDBOX + FREE MAGGI PAPARE KOTTU 75 GM PLPCH,400,GM,400.00 GM,CDBOX
63943,SIDDHALEPA AYURVEDA EXPORTS,KEKULU,KEKULU (SIDDHALEPA) THAMBILI THEL SUDU HADUN AROODHA SAMAN PICHCHA KOKUM POTHU BABY SOAP 70 GM CDBOX + SAVE RS 15,70,GM,70.00 GM,CDBOX
64082,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH PURIFYING WELLNESS SOAP WITH KOHOMBA PANCHAVALKADI TAILAM AND MINT 70 GM CDBOX,70,GM,70.00 GM,CDBOX
64081,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH GLOWING RADIANCE SOAP WITH SANDALWOOD KUMKUMADI TAILAM AND SAFFRON 70 GM CDBOX,70,GM,70.00 GM,CDBOX
64092,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,MUNCHEE CAROL COOKIES 85 GM PLPCH,85,GM,85.00 GM,PLPCH
64089,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH TOTAL ORAL CARE FLUORIDATED TOOTHPASTE WITH CLOVE OIL & DASANAKANTHI CHOORNAM 70 GM CDBOX,70,GM,70.00 GM,CDBOX
47513,UNILEVER SRI LANKA LTD,VASELINE INTENSIVE CARE,VASELINE INTENSIVE CARE (USL) ALOE FRESH 100 ML,100,ML,100.00 ML,PLBOT
64091,AJ FOODS (PVT) LTD,AJ,AJ TURMERIC POWDER 25 GM PLPCH,25,GM,25.00 GM,PLPCH
40351,RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC POWER PLUS ORIGINAL 10X 500 ML,500,ML,500.00 ML,
64051,MACLIMUM FMCG (PVT) LTD,MAAM MILKY,MAAM (MACLIMUM FMCG) MILKY BISCUITS 45 GM PLPCH,45,GM,45.00 GM,PLPCH
63953,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 25 GM PLPCH,25,GM,25.00 GM,PLPCH
64001,UNILEVER LIPTON CEYLON LTD,COMFORT,COMFORT DESIRE PERFUME DELUXE FABRIC CONDITIONER 850 ML PLBOT,850,ML,850.00 ML,PLBOT
63964,GLAXO SMITHKLINE BEECHAM,SENSODYNE,SENSODYNE - SOFT TOOTHBRUSH 1 NO,1,NO,1.00 NO,
14627,TSPL TECHNOLOGIES (PVT) LTD,REAL,REAL BOTTLED DRINKING WATER 1500 ML PLBOT,1500,ML,1500.00 ML,PLBOT
64083,DAYLIGHT DK,DAYLIGHT,DAYLIGHT PURE LEMON FRESH LAUNDRY SOAP 110 GM EWRPK,110,GM,110.00 GM,EWRPK
64082,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH PURIFYING WELLNESS SOAP WITH KOHOMBA PANCHAVALKADI TAILAM AND MINT 70 GM CDBOX,70,GM,70.00 GM,CDBOX
64081,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH GLOWING RADIANCE SOAP WITH SANDALWOOD KUMKUMADI TAILAM AND SAFFRON 70 GM CDBOX,70,GM,70.00 GM,CDBOX
61843,UNILEVER SRI LANKA LTD,VASELINE,VASELINE (USL) HEALTHY BRIGHT IN 2 WEEKS NIACINAMIDE-VITAMIN B3 SERUM IN BODY LOTION 100 ML PLBOT,100,ML,100.00 ML,PLBOT
64007,ICL MARKETING,BLACK KNIGHT,BLACK KNIGHT FRESH EXTREME POCKET PERFUME EAU DE TOILETTE 18.5 ML PLBOT,18,ML,18.50 ML,PLBOT
63436,UNILEVER SRI LANKA LTD,WONDERLIGHT,WONDERLIGHT JASMINE LAUNDRY BAR (110*2) 220 GM EWRPK + SAVE RS 30,220,GM,220.00 GM,EWRPK
64027,SAMMANA STATIONER (PVT) LTD,SAMMANEE,SAMMANEE - BINDER GLUE 40 GM PLBOT,40,GM,40.00 GM,PLBOT
63993,NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP MALTED FOOD 400 GM CDBOX + FREE MAGGI PAPARE KOTTU 75 GM PLPCH,400,GM,400.00 GM,CDBOX
14621,MIHIKATHA LANKA NATURALS (PVT) LTD,BULUWALA SPRING,BULUWALA SPRING BOTTLED DRINKING WATER 5000 ML PLBOT,5000,ML,5000.00 ML,PLBOT
37076,UNILEVER SRI LANKA LTD,RIN,RIN REFRESH SCENT OF LEMON & ROSE DETERGENT POWDER 200 GM,200,GM,200.00 GM,PLPCH
63961,SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA LEMONGRASS SOAP 67 GM EWRPK,67,GM,67.00 GM,EWRPK
63993,NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP MALTED FOOD 400 GM CDBOX + FREE MAGGI PAPARE KOTTU 75 GM PLPCH,400,GM,400.00 GM,CDBOX
64068,JEEWAKA FOOD (PVT) LTD,JEEWAKA,JEEWAKA GAMBOGE (GORAKA) PASTE 250 GM PLCUP,250,GM,250.00 GM,PLCUP
64082,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH PURIFYING WELLNESS SOAP WITH KOHOMBA PANCHAVALKADI TAILAM AND MINT 70 GM CDBOX,70,GM,70.00 GM,CDBOX
64081,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH GLOWING RADIANCE SOAP WITH SANDALWOOD KUMKUMADI TAILAM AND SAFFRON 70 GM CDBOX,70,GM,70.00 GM,CDBOX
51575,UNILEVER SRI LANKA LTD,VASELINE,VASELINE HEALTHY BRIGHT (USL) SUN + POLLUTION SPF 30 MULTI VITAMIN UV LOTION 100 ML PLBOT,100,ML,100.00 ML,PLBOT
47310,NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,NATURES SECRETS PANDA BABY COLOGNE FLORAL 100 ML,100,ML,100.00 ML,
62006,UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY STRONG & LONG MILK PROTEIN & MULTI VITAMIN HEALTH SHAMPOO 175 ML PLBOT + SAVE RS 50,175,ML,175.00 ML,PLBOT
63984,HEMAS MARKETING,VELVET,VELVET GLOW PERFECT SHEA BUTTER & SAFFRON EXTRACT BODY LOTION 200 ML PLBOT,200,ML,200.00 ML,PLBOT
64053,UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY STRONG & LONG HERBAL SHAMPOO WITH MILK PROTEIN & HERBAL EXTRACTS 80 ML PLBOT,80,ML,80.00 ML,PLBOT
64075,THE CEYLON SPICE HOUSE HOLDINGS,MIHIKATHA,MIHIKATHA ROASTED CHILLI POWDER 50 GM PLPCH,50,GM,50.00 GM,PLPCH
64072,THE CEYLON SPICE HOUSE HOLDINGS,MIHIKATHA,MIHIKATHA PEPPER POWDER 100 GM PLPCH,100,GM,100.00 GM,PLPCH
64070,THE CEYLON SPICE HOUSE HOLDINGS,MIHIKATHA,MIHIKATHA CHILLI PIECES 50 GM PLPCH,50,GM,50.00 GM,PLPCH
64069,THE CEYLON SPICE HOUSE HOLDINGS,MIHIKATHA,MIHIKATHA CHILLI PIECES 250 GM PLPCH,250,GM,250.00 GM,PLPCH
64076,THE CEYLON SPICE HOUSE HOLDINGS,MIHIKATHA,MIHIKATHA ROASTED CURRY POWDER 50 GM PLPCH,50,GM,50.00 GM,PLPCH
64071,THE CEYLON SPICE HOUSE HOLDINGS,MIHIKATHA,MIHIKATHA CURRY POWDER 100 GM PLPCH,100,GM,100.00 GM,PLPCH
64074,THE CEYLON SPICE HOUSE HOLDINGS,MIHIKATHA,MIHIKATHA PEPPER POWDER 50 GM PLPCH,50,GM,50.00 GM,PLPCH
64073,THE CEYLON SPICE HOUSE HOLDINGS,MIHIKATHA,MIHIKATHA PEPPER POWDER 25 GM PLPCH,25,GM,25.00 GM,PLPCH
63964,GLAXO SMITHKLINE BEECHAM,SENSODYNE,SENSODYNE - SOFT TOOTHBRUSH 1 NO,1,NO,1.00 NO,
64056,SUNSHINE COUNSUMER LANKA LTD,ZESTA,ZESTA PREMIUM BOPF 100 TEA BAGS 180 GM CDBOX,180,GM,180.00 GM,CDBOX
63953,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 25 GM PLPCH,25,GM,25.00 GM,PLPCH
12975,CEYLON BEVRAGE INTERNATIONAL PVT LTD,SUN CRUSH SPINNER,SUN CRUSH-SPINNER CAFFEINATED DRINK 250 ML CAN,250,ML,250.00 ML,CAN
62569,KITCHI HOLDING LANKA PVT LTD,KITCHI,KITCHI SOYA MEAT POLOS FLAVOURED 70 GM PLPCH,70,GM,70.00 GM,PLPCH
64078,SAMPATH PRODUCTS,SAMPATH,SAMPATH (SAMPATH PRODUCTS) GAMBOGE CREAM (GORAKA) 100 GM PLCUP,100,GM,100.00 GM,PLCUP
64055,MICMAC FOOD (PVT) LTD,MIC MAC STRAWBERRY CREAM,MIC MAC STRAWBERRY CREAM BISCUITS 90 GM PLPCH,90,GM,90.00 GM,PLPCH
63943,SIDDHALEPA AYURVEDA EXPORTS,KEKULU,KEKULU (SIDDHALEPA) THAMBILI THEL SUDU HADUN AROODHA SAMAN PICHCHA KOKUM POTHU BABY SOAP 70 GM CDBOX + SAVE RS 15,70,GM,70.00 GM,CDBOX
58497,UNILEVER SRI LANKA LTD,LUX,LUX SOFT GLOW JASMINE & VITAMIN E 7 BEAUTY INGREDIENTS 70 GM EWRPK + SAVE RS 15,70,GM,70.00 GM,EWRPK
63949,COLOMBO COMMODITIES,MIRICH,MIRICH CHILLI POWDER 1000 GM PLPCH,1000,GM,1000.00 GM,PLPCH
30623,CEYLON BISCUITS LIMITED,MUNCHEE CHOCOLATE MARIE,MUNCHEE CHOCOLATE MARIE 200 GM,200,GM,200.00 GM,PLPCH
63953,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 25 GM PLPCH,25,GM,25.00 GM,PLPCH
63955,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH + SAVE RS 50,400,GM,400.00 GM,PLPCH
64079,SHINE FOOD PRODUCTS,SHINE,SHINE CHILLI PIECES 1000 GM PLPCH,1000,GM,1000.00 GM,PLPCH
64080,SHINE FOOD PRODUCTS,SHINE,SHINE CHILLI POWDER 1000 GM PLPCH,1000,GM,1000.00 GM,PLPCH
63961,SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA LEMONGRASS SOAP 67 GM EWRPK,67,GM,67.00 GM,EWRPK
63595,UNILEVER SRI LANKA LTD,WONDERLIGHT,WONDERLIGHT LEMON LAUNDRY BAR (110*2) 220 GM EWRPK + SAVE RS 30,220,GM,220.00 GM,EWRPK
63341,UNILEVER SRI LANKA LTD,SUNLIGHT,SUNLIGHT WITH REAL LEMON POWER LAUNDRY BAR (110*3) 330 GM EWRPK + FREE SUNLIGHT ROYAL LAVENDER FRAGRANCE LAUNDRY BAR 110 GM EWRPK,440,GM,330.00 GM,EWRPK
64062,LELAN MARKETING,SHINE MAX,SHINE MAX PINOL DISINFECTANT 1000 ML PLBOT,1000,ML,1000.00 ML,PLBOT
64061,LELAN MARKETING,SHINE MAX CLOREX,SHINE MAX CLOREX 500 ML PLBOT,500,ML,500.00 ML,PLBOT
64060,LELAN MARKETING,SHINE MAX WIN,SHINE MAX WIN DISH WASH LIQUID PURE LIME FRAGRANCE 500 ML PLBOT,500,ML,500.00 ML,PLBOT
63436,UNILEVER SRI LANKA LTD,WONDERLIGHT,WONDERLIGHT JASMINE LAUNDRY BAR (110*2) 220 GM EWRPK + SAVE RS 30,220,GM,220.00 GM,EWRPK
64009,SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA BABY FLORAL - KOHOMBA WITH RATHMAL AND ROSE WATER BABY COLOGNE 30 ML CDBOX,30,ML,30.00 ML,CDBOX
63436,UNILEVER SRI LANKA LTD,WONDERLIGHT,WONDERLIGHT JASMINE LAUNDRY BAR (110*2) 220 GM EWRPK + SAVE RS 30,220,GM,220.00 GM,EWRPK
64049,ORIENT LANKA CONFECTIONERY,MAAM MILKY,MAAM MILKY BISCUITS 85 GM PLPCH (ORIENT LANKA),85,GM,85.00 GM,PLPCH
64047,SRI NUTRIFOODS (PVT) LTD,MACLEE CHOCOLATE CREAM,MACLEE CHOCOLATE CREAM BISCUITS 90 GM PLPCH (SRI NUTRIFOODS),90,GM,90.00 GM,PLPCH
64048,SIRREXTAR PAINT'S,SIRREXTAR NC THINNERS,SIRREXTAR (NC) THINNER - 4 L PLCAN,4000,ML,4000.00 ML,PLCAN
64065,STAR KING,STAR KING,STAR KING CLORAX 100 ML PLBOT,100,ML,100.00 ML,PLBOT
64058,SIDDHALEPA AYURVEDA EXPORTS,KEKULU,KEKULU (SIDDHALEPA) KING COCONUT OIL - LOTHSUBULU - ALOEVERA 70 GM CDBOX + SAVE RS 15,70,GM,70.00 GM,CDBOX
39662,UNILEVER SRI LANKA LTD,VASELINE INTENSIVE CARE,VASELINE INTENSIVE CARE (USL) DEEP RESTORE 40 ML,40,ML,40.00 ML,PLBOT
64018,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK DAMAGE RESTORE SHAMPOO WITH KING COCONUT OIL KERATIN PROTEIN & VITAMIN C ACTIV-MIX 80 ML PLBOT + FREE LIFEBUOY MILD CARE WITH MILK PROTEIN 75 GM EWRPK,80,ML,80.00 ML,PLBOT
63973,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK STUNNING BLACK SHINE-GO SHINE-WITH AMLA OIL PEARL PROTEIN & VITAMIN E ACTIVE MIX SHAMPOO 80 ML PLBOT + FREE LIFEBUOY MILD CARE WITH MILK PROTEIN SOAP 75 GM EWRPK,80,ML,80.00 ML,PLBOT
64059,RECKITT BENCKISER (LANKA) LTD,LYSOL,LYSOL TRIPLE GERM ACTION ALL IN 1 DISINFECTANT SURFACE CLEANER - FLORAL - 500 ML PLBOT + FREE HARPIC POWER PLUS 10X ADVANCED ORIGINAL 200 ML PLBOT,700,ML,500.00 ML,PLBOT
64092,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,MUNCHEE CAROL COOKIES 85 GM PLPCH,85,GM,85.00 GM,PLPCH
64064,GAJAMUTHU FOOD PRODUCTS PVT LTD,GAJAMUTHU,GAJAMUTHU CHILLI POWDER 50 GM PLPCH,50,GM,50.00 GM,PLPCH
64067,PENTIUM 2000 STATIONERIES (PVT) LTD,MILLENIUM,MILLENIUM - (PENTIUM 2000 STATIONERIES) - CR BOOK (A4) 160 PGS - 1 NO,1,NO,1.00 NO,
64066,GAJAMUTHU FOOD PRODUCTS PVT LTD,GAJAMUTHU,GAJAMUTHU PEPPER POWDER 25 GM PLPCH,25,GM,25.00 GM,PLPCH
63978,MALIBAN BISCUIT MANUFACTORIES,MALIBAN SMART CREAM CRACKER,MALIBAN CREAM CRACKER 190 GM PLPCH + FREE ASTRA FAT SPREAD MULTI-PURPOSE SPREADING COOKING AND BAKING 18 GM PLPCH,190,GM,190.00 GM,PLPCH
63943,SIDDHALEPA AYURVEDA EXPORTS,KEKULU,KEKULU (SIDDHALEPA) THAMBILI THEL SUDU HADUN AROODHA SAMAN PICHCHA KOKUM POTHU BABY SOAP 70 GM CDBOX + SAVE RS 15,70,GM,70.00 GM,CDBOX
63993,NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP MALTED FOOD 400 GM CDBOX + FREE MAGGI PAPARE KOTTU 75 GM PLPCH,400,GM,400.00 GM,CDBOX
51411,HEMAS MARKETING,FEMS,FEMS DRYTEX-WINGS 10 NO,10,NO,10.00 NO,10NO
64042,NESTLE LANKA,MAGGI,MAGGI PROFESSIONAL SEASONING POWDER CHICKEN FLAVOUR 500 GM PLPCH,500,GM,500.00 GM,PLPCH
63820,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK KERATIN STRAIGHT SHAMPOO WITH KERATIN AND ARGAN OIL ACTIV MIX 180 ML PLBOT,180,ML,180.00 ML,PLBOT
64084,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH ANTI MARK & OIL CONTROL FACE CREAM WITH TURMERIC KUMKUMADI TAILAM AND MINT 25 GM CDBOX,25,GM,25.00 GM,CDBOX
63964,GLAXO SMITHKLINE BEECHAM,SENSODYNE,SENSODYNE - SOFT TOOTHBRUSH 1 NO,1,NO,1.00 NO,
58775,HIMADI PRODUCT,HIMADI,HIMADI GORAKA CREAM 100 GM PLCUP,100,GM,100.00 GM,PLCUP
36196,UNILEVER LIPTON CEYLON LTD,LIPTON LAOJEE,LAOJEE BROOKE BOND 50 GM,50,GM,50.00 GM,PLPCH
64092,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,MUNCHEE CAROL COOKIES 85 GM PLPCH,85,GM,85.00 GM,PLPCH
63953,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 25 GM PLPCH,25,GM,25.00 GM,PLPCH
63989,RECKITT BENCKISER (LANKA) LTD,LYSOL,LYSOL TRIPLE GERM ACTION ALL IN 1 DISINFECTANT SURFACE CLEANER - CITRUS - 500 ML PLBOT + FREE HARPIC POWER PLUS 10X ADVANCED ORIGINAL 200 ML PLBOT,700,ML,500.00 ML,PLBOT
51410,HEMAS MARKETING,FEMS,FEMS COTTON FEEL-WINGS 10 NO,10,NO,10.00 NO,10NO
51411,HEMAS MARKETING,FEMS,FEMS DRYTEX-WINGS 10 NO,10,NO,10.00 NO,10NO
63960,HEMAS MARKETING,GOYA,GOYA (HEMAS) ROSES RUBY RED SOAP 70 GM CDBOX,70,GM,70.00 GM,CDBOX
64046,RICHARD TRADING CO (PVT) LTD,RICHARD COLOURAY,RICHARD COLOURAY - DRAWING BOOK (A4) 80 PGS - 1 NO,1,NO,1.00 NO,
64036,HEMAS MARKETING,GOYA,GOYA (HEMAS) ROSES PRETTY PINK SOAP 70 GM CDBOX,70,GM,70.00 GM,CDBOX
63943,SIDDHALEPA AYURVEDA EXPORTS,KEKULU,KEKULU (SIDDHALEPA) THAMBILI THEL SUDU HADUN AROODHA SAMAN PICHCHA KOKUM POTHU BABY SOAP 70 GM CDBOX + SAVE RS 15,70,GM,70.00 GM,CDBOX
40350,RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC POWER PLUS ORIGINAL 10X 200 ML,200,ML,200.00 ML,
40351,RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC POWER PLUS ORIGINAL 10X 500 ML,500,ML,500.00 ML,
21128,CAP FOODS,CAP PANI KAJU,CAP DAIRIES PANI KAJU WITH KITHUL TREACLE ICE CREAM 250 ML PLTUB,250,ML,250.00 ML,PLTUB
63972,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO 5 NATURAL OILS EGG PROTEIN & VITAMIN C ACTIVE MIX 80 ML PLBOT + FREE LIFEBUOY GLOWING SKIN SAKURA AND PINK CLAY SOAP 75 GM EWRPK,80,ML,80.00 ML,PLBOT
64037,UNILEVER SRI LANKA LTD,VASELINE,VASELINE (USL) HEALTHY BRIGHT IN 2 WEEKS NIACINAMIDE-VITAMIN B3 SERUM IN BODY LOTION 400 ML PLBOT,400,ML,400.00 ML,PLBOT
14620,SARA FRUIT PRODUCTS,SEA LION WOODAPPLE,SEA LION WOODAPPLE DRINK-RGB 190 ML,190,ML,190.00 ML,RGB
64184,MENAKE FOOD PRODUCTS,MENAKE,MENAKE CHILLI POWDER 50 GM PLPCH,50,GM,50.00 GM,PLPCH
63978,MALIBAN BISCUIT MANUFACTORIES,MALIBAN SMART CREAM CRACKER,MALIBAN CREAM CRACKER 190 GM PLPCH + FREE ASTRA FAT SPREAD MULTI-PURPOSE SPREADING COOKING AND BAKING 18 GM PLPCH,190,GM,190.00 GM,PLPCH
