DATE,PERIOD,AUDITYPE,STORECODE,DLRCODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
02/01/2024,202412,2.0,516753610299,51675020010.0,1735373521595,99765343,134,API SPRING PVT.LTD NEPAL ,API SPRING,API SPRING/1000ML/PBT/MINRAL WATER,25,1000ML ,PBT,,,RECODING,5
02/01/2024,202412,2.0,516753710207,51675020002.0,1735373521595,99765343,134,API SPRING PVT.LTD NEPAL ,API SPRING,API SPRING/1000ML/PBT/MINRAL WATER,25,1000ML ,PBT,,,RECODING,5
02/01/2024,202412,2.0,516753310229,51675020004.0,1735373521595,99765343,134,API SPRING PVT.LTD NEPAL ,API SPRING,API SPRING/1000ML/PBT/MINRAL WATER,25,1000ML ,PBT,,1735373521595-api spring pvt-ltd nepal -api spring#3.png,RECODING,5
02/01/2024,202412,2.0,128699486,12201020014.0,1733901349964,99765344,134,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS-LYCHEE-LYCHEE DRINK PET 250ML,100,250ML,PET,,1733901349964-singapore beverage-nepal-fruit gems#3.png,RECODING,5
02/01/2024,202412,2.0,117186046,11302020003.0,1733808460064,99765337,134,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT REFRESH,RAYBOT REFRESH-GUAVA PET 250ML,50,250ML,PET,,1733808460064-raybot spring-s mineral water-nepal-raybot refresh#3.png,RECODING,5
13/11/2024,202411,2.0,130302224,31101020064.0,1731403137739,99765323,134,SURYADAYA DAIRY UDHYOG PVT LTD NEPAL,SURYADAYA ,SURYADAYA BADAM DRINK\180ML\CAN\RS:100\SURYADAYA DAIRY UDHYOG PVT LTD NEPAL,99,180ML,CAN,New SKU,1731403137739-suryadaya dairy udhyog pvt ltd nepal-suryadaya #3.png,RECODING,5
13/11/2024,202411,3.0,1210102727,12101030182.0,1731409450152,99765320,126,MADHU CHEMICAL COMPANY,MADHU,MADHU-SWEET SUPERI PPH-1.45 GM,3,1.45 GM.,PPH,,1731409450152-madhu chemical company-madhu#3.png,RECODING,5
13/11/2024,202411,3.0,2110203313,21102030291.0,1731222877542,99765321,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION/HL/20NOS/MRP320,320,20 NOS,KS,,,RECODING,5
13/11/2024,202411,3.0,1220100010,12201030122.0,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3,1.45G,PPH,,,RECODING,5
13/11/2024,202411,3.0,1220100005,12201030170.0,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3,1.45G,PPH,,,RECODING,5
13/11/2024,202411,3.0,1220102348,12201030177.0,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3,1.45G,PPH,,,RECODING,5
13/11/2024,202411,2.0,112116438,21102020060.0,1731303478705,99765322,134,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT REFRESH,RAYBOT REFRESH-LITCHI-PBT-250ML,50,250 ML,PBT,,1731303478705-raybot spring-s mineral water-nepal-raybot refresh#3.png,RECODING,5
13/11/2024,202411,3.0,2110203304,21102030204.0,1731308020769,99765321,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320,HL 20 NOS,CBP,,1731308020769-surya nepal pvt ltd - nepal-surya fusion#3.png,RECODING,5
